Date,SST
2022-10-27,2849.551439472772
2022-10-28,2846.4944849115504
2022-10-29,2843.43753035033
2022-10-30,2840.3805757891087
2022-10-31,2837.323621227888
2022-11-01,2834.266666666667
2022-11-02,2830.69
2022-11-03,2827.1133333333337
2022-11-04,2823.536666666667
2022-11-05,2819.96
2022-11-06,2816.3833333333337
2022-11-07,2812.806666666667
2022-11-08,2809.23
2022-11-09,2805.6533333333336
2022-11-10,2802.076666666667
2022-11-11,2798.5
2022-11-12,2794.9233333333336
2022-11-13,2791.346666666667
2022-11-14,2787.77
2022-11-15,2784.1933333333336
2022-11-16,2780.616666666667
2022-11-17,2777.04
2022-11-18,2773.4633333333336
2022-11-19,2769.8866666666668
2022-11-20,2766.31
2022-11-21,2762.7333333333336
2022-11-22,2759.1566666666668
2022-11-23,2755.58
2022-11-24,2752.0033333333336
2022-11-25,2748.4266666666667
2022-11-26,2744.85
2022-11-27,2741.273333333333
2022-11-28,2737.6966666666667
2022-11-29,2734.12
2022-11-30,2730.543333333333
2022-12-01,2726.9666666666667
2022-12-02,2726.20395421436
2022-12-03,2725.4412417620533
2022-12-04,2724.678529309747
2022-12-05,2723.91581685744
2022-12-06,2723.153104405133
2022-12-07,2722.390391952827
2022-12-08,2721.62767950052
2022-12-09,2720.8649670482137
2022-12-10,2720.102254595907
2022-12-11,2719.3395421436003
2022-12-12,2718.576829691294
2022-12-13,2717.814117238987
2022-12-14,2717.0514047866805
2022-12-15,2716.288692334374
2022-12-16,2715.525979882067
2022-12-17,2714.7632674297606
2022-12-18,2714.0005549774537
2022-12-19,2713.2378425251472
2022-12-20,2712.475130072841
2022-12-21,2711.712417620534
2022-12-22,2710.9497051682274
2022-12-23,2710.1869927159205
2022-12-24,2709.424280263614
2022-12-25,2708.661567811308
2022-12-26,2707.8988553590007
2022-12-27,2707.136142906694
2022-12-28,2706.373430454388
2022-12-29,2705.610718002081
2022-12-30,2704.8480055497744
2022-12-31,2704.0852930974675
2023-01-01,2703.322580645161
2023-01-02,2705.0990411773446
2023-01-03,2706.8755017095286
2023-01-04,2708.651962241712
2023-01-05,2710.428422773896
2023-01-06,2712.20488330608
2023-01-07,2713.9813438382635
2023-01-08,2715.757804370447
2023-01-09,2717.534264902631
2023-01-10,2719.3107254348147
2023-01-11,2721.0871859669987
2023-01-12,2722.8636464991823
2023-01-13,2724.640107031366
2023-01-14,2726.41656756355
2023-01-15,2728.1930280957336
2023-01-16,2729.969488627917
2023-01-17,2731.745949160101
2023-01-18,2733.522409692285
2023-01-19,2735.2988702244684
2023-01-20,2737.0753307566524
2023-01-21,2738.851791288836
2023-01-22,2740.62825182102
2023-01-23,2742.404712353204
2023-01-24,2744.1811728853872
2023-01-25,2745.9576334175717
2023-01-26,2747.734093949755
2023-01-27,2749.5105544819385
2023-01-28,2751.2870150141225
2023-01-29,2753.063475546306
2023-01-30,2754.8399360784897
2023-01-31,2756.6163966106737
2023-02-01,2758.3928571428573
2023-02-02,2761.8258311389072
2023-02-03,2765.2588051349576
