system:index,date,mean_sst,.geo
20230710,2023-07-10,2891.349862763402,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230711,2023-07-11,2861.2725337775405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230712,2023-07-12,2867.060059226362,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230713,2023-07-13,2876.8735769332325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230714,2023-07-14,2883.0285735663124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230715,2023-07-15,2885.2578689538195,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230716,2023-07-16,2880.42713661836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230717,2023-07-17,2869.3644567045144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230718,2023-07-18,2875.222549726124,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230719,2023-07-19,2879.9014593941192,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230720,2023-07-20,2880.7314592759813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230721,2023-07-21,2877.0109021386925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230722,2023-07-22,2875.281157828006,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230723,2023-07-23,2865.6793684359905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230724,2023-07-24,2864.4841636443193,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230725,2023-07-25,2872.5615477610954,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230726,2023-07-26,2873.6368644685226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230727,2023-07-27,2876.4583485927897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230728,2023-07-28,2880.3452888663155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230729,2023-07-29,2876.679673624982,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230730,2023-07-30,2870.6214553774307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230731,2023-07-31,2859.414779417269,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230801,2023-08-01,2855.139859258657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230802,2023-08-02,2888.7961081511075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230803,2023-08-03,2900.761033074616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230804,2023-08-04,2904.7433104540096,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230805,2023-08-05,2900.676889513706,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230806,2023-08-06,2897.3746500171355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230807,2023-08-07,2900.5998066480047,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230808,2023-08-08,2895.956761609986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230809,2023-08-09,2885.9507444642722,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230810,2023-08-10,2900.437302365511,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230811,2023-08-11,2907.0755825172055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230812,2023-08-12,2912.694379796888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230813,2023-08-13,2906.6856494225103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230814,2023-08-14,2899.563054016486,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230815,2023-08-15,2892.1652116042783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230816,2023-08-16,2888.6933677507777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230817,2023-08-17,2886.7717580067906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230818,2023-08-18,2880.0525752044778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230819,2023-08-19,2876.4406082515216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230820,2023-08-20,2876.9529851422285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230821,2023-08-21,2884.1887249400484,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230822,2023-08-22,2895.457736245825,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230823,2023-08-23,2904.2907368247074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230824,2023-08-24,2914.3861940372003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230825,2023-08-25,2917.721890124094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230826,2023-08-26,2923.485181597303,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230827,2023-08-27,2926.4803576421273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230828,2023-08-28,2921.0288354381587,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230829,2023-08-29,2909.8111431395455,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230830,2023-08-30,2904.6171020040197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230831,2023-08-31,2901.90541109943,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230901,2023-09-01,2909.034823049456,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230902,2023-09-02,2922.249821809012,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230903,2023-09-03,2899.340827200029,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230904,2023-09-04,2901.4746870336066,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230905,2023-09-05,2901.384555861406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230906,2023-09-06,2879.592869997373,"{""type"":""MultiPoint"",""coordinates"":[]}"
